timestamp,usage
2017-06-04 07:59:42,718
2017-06-04 08:59:42,873
2017-06-04 09:59:48,1151
2017-06-04 10:59:48,1373
2017-06-04 11:59:44,1479
2017-06-04 13:02:48,1470
2017-06-04 14:02:47,1461
2017-06-04 14:02:47,1461
2017-06-04 16:04:12,1184
2017-06-05 09:30:15,1099
2017-06-05 10:30:17,1348
2017-06-05 11:30:18,1445
2017-06-05 12:30:16,1481
2017-06-05 12:57:15,1499
2017-06-05 13:30:19,1471
2017-06-05 14:30:17,1423
2017-06-05 16:04:18,1207
2017-06-06 08:57:22,949
2017-06-06 10:30:20,1270
2017-06-06 10:57:20,1324
2017-06-06 12:30:24,1445
2017-06-06 12:04:24,1414
2017-06-06 13:30:21,1373
2017-06-06 15:04:22,1277
2017-06-06 16:04:23,1166
2017-06-07 08:30:27,880
2017-06-07 09:30:27,1071
2017-06-07 09:57:27,1156
2017-06-07 10:57:30,1274
2017-06-07 12:30:28,1370
2017-06-07 13:04:28,1375
2017-06-07 14:03:28,1320
2017-06-07 15:04:30,1231
2017-06-07 15:04:30,1231
2017-06-08 08:57:34,766
2017-06-08 10:30:34,939
2017-06-08 10:57:34,964
2017-06-08 12:30:36,1113
2017-06-08 13:30:36,1266
2017-06-08 14:30:35,1397
2017-06-08 14:57:41,1396
2017-06-08 16:04:39,1402
2017-06-09 08:30:45,650
2017-06-09 09:30:45,682
2017-06-09 09:57:41,678
2017-06-09 11:30:41,821
2017-06-09 11:57:46,856
2017-06-09 13:30:42,987
2017-06-09 14:30:42,1045
2017-06-09 15:04:44,1055
2017-06-09 16:03:43,977
2017-06-10 08:30:47,638
2017-06-10 09:30:49,870
2017-06-10 10:30:48,1080
2017-06-10 10:57:52,1121
2017-06-10 11:57:49,1187
2017-06-10 13:04:49,1247
2017-06-10 14:03:49,1223
2017-06-10 14:03:49,1223
2017-06-10 15:30:49,1099
2017-06-11 08:30:54,826
2017-06-11 08:57:56,905
2017-06-11 09:57:59,1188
2017-06-11 10:57:55,1378
2017-06-11 12:30:56,1468
2017-06-11 13:04:00,1483
2017-06-11 14:04:00,1471
2017-06-11 15:03:58,1389
2017-06-11 16:01:00,1230
2017-06-12 08:31:01,845
2017-06-12 09:26:58,1033
2017-06-12 10:31:04,1259
2017-06-12 11:31:05,1347
2017-06-12 12:31:05,1413
2017-06-12 13:04:04,1440
2017-06-12 14:03:59,1378
2017-06-12 15:01:03,1303
2017-06-12 15:01:03,1303
2017-06-13 09:31:01,941
2017-06-13 09:57:08,1061
2017-06-13 11:31:06,1302
2017-06-13 11:57:06,1343
2017-06-13 13:04:04,1385
2017-06-13 13:04:04,1385
2017-06-13 15:04:08,1297
2017-06-13 16:04:08,1214
2017-06-14 08:27:10,770
2017-06-14 09:27:10,964
2017-06-14 10:27:09,1111
2017-06-14 11:27:06,1202
2017-06-14 12:27:06,1242
2017-06-14 13:27:07,1269
2017-06-14 14:01:11,1256
2017-06-14 15:01:12,1193
2017-06-14 16:01:11,1057
2017-06-15 08:34:10,640
2017-06-15 09:27:11,769
2017-06-15 10:27:15,928
2017-06-15 11:27:14,1009
2017-06-15 12:27:10,1132
2017-06-15 13:34:13,1294
2017-06-15 14:27:12,1410
2017-06-15 15:01:13,1422
2017-06-15 16:01:15,1411
2017-06-16 08:27:13,755
2017-06-16 09:27:13,1120
2017-06-16 10:34:13,1216
2017-06-16 11:27:17,1310
2017-06-16 12:27:14,1417
2017-06-16 13:01:16,1458
2017-06-16 14:01:18,1359
2017-06-16 15:01:18,1232
2017-06-16 15:01:18,1232
2017-06-17 08:27:16,672
2017-06-17 09:27:20,862
2017-06-17 10:31:16,1080
2017-06-17 11:31:18,1199
2017-06-17 12:31:21,1229
2017-06-17 12:57:17,1256
2017-06-17 14:04:21,1278
2017-06-17 14:04:21,1278
2017-06-17 15:31:21,1184
2017-06-18 08:28:25,839
2017-06-18 09:28:22,1041
2017-06-18 10:28:58,1291
2017-06-18 11:27:56,1377
2017-06-18 12:27:57,1406
2017-06-18 13:01:56,1423
2017-06-18 13:01:56,1423
2017-06-18 15:01:58,1310
2017-06-18 15:01:58,1310
2017-06-19 08:25:01,826
2017-06-19 08:58:05,919
2017-06-19 09:58:04,1185
2017-06-19 10:59:00,1358
2017-06-19 11:59:05,1399
2017-06-19 12:58:01,1455
2017-06-19 13:25:03,1458
2017-06-19 14:32:03,1401
2017-06-19 15:32:05,1260
2017-06-22 08:59:44,611
2017-06-22 09:59:44,729
2017-06-22 10:59:47,846
2017-06-22 11:59:46,988
2017-06-22 12:59:47,1192
2017-06-22 13:59:48,1309
